question,answer
Berapa biaya/harga diklat AFF ,"ADVANCE FIRE FIGHTING (AFF),ADVANCE FIRE FIGHTING KERJASAMA Biaya diklat:740.000"
,
,
Berapa biaya/harga diklat ACT,ADVANCED TRAINING FOR CHEMICAL TANKER CARGO OPERATIONS (ACT) Biaya diklat:980.000
,
,
Berapa biaya/harga diklat ALGT,ADVANCED TRAINING FOR LIQUEFIED GAS TANKER CARGO OPERATIONS (ALGT) Biaya diklat:985.000
,
,
Berapa biaya/harga diklat AOT,ADVANCED TRAINING FOR OIL TANKER (AOT)Biaya diklat:975.000
,
,
Berapa biaya/harga diklat Arpa Simulator,"ARPA SIMULATOR, ARPA SIMULATOR KERJASAMA, ARPA SIMULATOR PASIS Biaya diklat:855.000"
,
,
Berapa biaya/harga diklat BST,BASIC SAFETY TRAINING (BST)Biaya diklat:1.350.000
,
,
Berapa biaya/harga diklat BST Kerja sama ,BASIC SAFETY TRAINING KERJASAMA (BST)Biaya diklat:1.301.000
,
,
Berapa biaya/harga diklat BST kapal layar motor,BASIC SAFETY TRAINING - Kapal Layar Motor (BST)Biaya diklat:639.000
,
,
Berapa biaya/harga diklat BLGT,"BASIC TRAINING FOR LIQUEFIED GAS TANKER CARGO OPERATIONS (BLGT),BASIC TRAINING FOR LIQUEFIED GAS TANKER CARGO OPERATIONS KERJASAMA Biaya diklat:880.000"
,
,
Berapa biaya/harga diklat BOCT,"BASIC TRAINING FOR OIL AND CHEMICAL TANKER CARGO OPERATIONS (BOCT), BASIC TRAINING FOR OIL AND CHEMICAL TANKER CARGO OPERATIONS KERJASAMA Biaya diklat:875.000"
,
,
Berapa biaya/harga diklat BRM,"BRIDGE RESOURCE MANAGEMENT (BRM), BRIDGE RESOURCE MANAGEMENT KERJASAMA, BRIDGE RESOURCE MANAGEMENT PASIS Biaya diklat:1.000.000"
,
,
Berapa biaya/harga diklat CMHBT,"CRISIS MANAGEMENT HUMAN BEHAVIOUR TRAINING (CMHBT), CRISIS MANAGEMENT HUMAN BEHAVIOUR TRAINING PASIS Biaya diklat:446.000"
,
,
Berapa biaya/harga diklat CMT,"CROWD MANAGEMENT TRAINING (CMT), CROWD MANAGEMENT TRAINING PASIS Biaya diklat: 441.000"
,
,
Berapa biaya/harga diklat ECDIS,"ELECTRONIC CHART DISPLAY INFORMATION SYSTEM (ECDIS), ELECTRONIC CHART DISPLAY INFORMATION SYSTEM KERJASAMA, ELECTRONIC CHART DISPLAY INFORMATION SYSTEM PASIS Biaya diklat: 1.110.000"
,
,
Berapa biaya/harga diklat ERM,"ENGINE RESOURCE MANAGEMENT (ERM), ENGINE RESOURCE MANAGEMENT KERJASAMA,ENGINE RESOURCE MANAGEMENT PASIS Biaya diklat:860.000"
,
,
Berapa biaya/harga diklat GMDSS,"GLOBAL MARITIME DISTRESS AND SAFETY SYSTEM PASIS (GMDSS), GOC - GLOBAL MARITIME DISTRESS AND SAFETY SYSTEM Biaya diklat: 2.124.000"
,
,
Berapa biaya/harga diklat MC,"MEDICAL CARE (MC), MEDICAL CARE KERJASAMA,MEDICAL CARE PASIS Biaya diklat: 743.000"
,
,
Berapa biaya/harga diklat MFA,"MEDICAL FIRST AID (MFA), MEDICAL FIRST AID KERJASAMA, MEDICAL FIRST AID PASIS Biaya diklat: 588.000"
,
,
Berapa biaya/harga diklat ORU,OPERATOR RADIO UMUM (ORU) Biaya diklat:2.800.000
,
,
"Berapa biaya/harga diklat PS, HS, HIT","PASSENGER SAFETY (PS), CARGO SAFETY (CS) & HULL INTEGRITY (HIT)Biaya diklat: 950.000"
,
,"PROFICIENCY IN SURVIVAL CRAFT AND RESCUE BOATS, PROFICIENCY IN SURVIVAL CRAFT AND RESCUE BOATS KERJASAMA, PROFICIENCY IN SURVIVAL CRAFT AND RESCUE BOATS PASIS Biaya diklat: 900.000"
Berapa biaya/harga diklat PSCRB,
,
,
Berapa biaya/harga diklat RADAR SIMULATOR,"RADAR SIMULATOR, RADAR SIMULATOR KERJASAMA, RADAR SIMULATOR PASIS Biaya diklat: 868.000"
,
,
Berapa biaya/harga diklat Rating Deck,RATING FORMING A PART OF A NAVIGATION WATCH - DECK Biaya diklat: 1.729.000
,
,
Berapa biaya/harga diklat Rating Engine,RATING FORMING A PART OF A NAVIGATION WATCH - ENGINE Biaya diklat: 1.771.000
,
,
Berapa biaya/harga diklat sdsd,"SEAFERER WITH DESIGNATED SECURITY DUTIES (SDSD), SEAFERER WITH DESIGNATED SECURITY DUTIES KERJASAMA, SEAFERER WITH DESIGNATED SECURITY DUTIES PASIS Biaya diklat:600.000"
,
,
Berapa biaya/harga diklat sat,"SECURITY AWARENESS TRAINING (SAT), SECURITY AWARENESS TRAINING KERJASAMA, SECURITY AWARENESS TRAINING PASIS Biaya diklat:425.000"
,
,
Berapa biaya/harga diklat sso,"SHIP SECURITY OFFICER (SSO), SHIP SECURITY OFFICER KERJASAMA,SHIP SECURITY OFFICER PASIS Biaya diklat:581.000"
,
,
Berapa biaya/harga diklat scrb,SURVIVAL CRAFT AND RESCUE BOATS (SCRB)Biaya diklat:900.000
,
,
Berapa biaya/harga towing master,TOWING MASTERBiaya diklat:1.100.000
,
,
Berapa biaya/harga towing master kerjasama,TOWING MASTER (KERJASAMA)Biaya diklat: 1.000.000
,
Berapa biaya/harga PEMUTAKHIRAN NAUTIKA (ANT) III MANAGEMENT,PEMUTAKHIRAN NAUTIKA (ANT) III MANAGEMENT  :1.390.000
Berapa biaya/harga PEMUTAKHIRAN NAUTIKA (ANT) IV MANAGEMENT,PEMUTAKHIRAN NAUTIKA (ANT)IV MANAGEMENT   :1.375.000
Berapa biaya/harga PEMUTAKHIRAN NAUTIKA (ANT) V MANAGEMENT,PEMUTAKHIRAN NAUTIKA (ANT) V MANAGEMENT   :1.029.000
Berapa biaya/harga PEMUTAKHIRAN TEKNIKA (ATT) III MANAGEMENT,PEMUTAKHIRAN TEKNIKA (ATT) III MANAGEMENT  :1.464.000
Berapa biaya/harga PEMUTAKHIRAN TEKNIKA (ATT) IV MANAGEMENT,PEMUTAKHIRAN TEKNIKA (ATT)IV MANAGEMENT   :1.320.000
Berapa biaya/harga PEMUTAKHIRAN TEKNIKA (ATT) V MANAGEMENT,PEMUTAKHIRAN TEKNIKA (ATT)V MANAGEMENT   :1.090.000
Berapa biaya/harga PENINGKATAN DP IV NAUTIKA (ANT DP IV) ,PENINGKATAN DP IV NAUTIKA (ANT DP IV) : 17.852.000
Berapa biaya/harga PENINGKATAN DP II NAUTIKA (ANT DP II,PENINGKATAN DP II NAUTIKA (ANT DP II)  : 22.300.000
Berapa biaya/harga PENINGKATAN DP II TEKNIKA (ATT DP II),PENINGKATAN DP II TEKNIKA (ATT DP II) : 23.200.000
Berapa biaya/harga PENINGKATAN DP III NAUTIKA (ANT DP III),PENINGKATAN DP III NAUTIKA (ANT DP III) : 23.427.000
Berapa biaya/harga PENINGKATAN DP III TEKNIKA (ATT DP III),PENINGKATAN DP III TEKNIKA (ATT DP III) : 24.647.000
Berapa biaya/harga PENINGKATAN DP IV TEKNIKA (ATT DP IV),PENINGKATAN DP IV TEKNIKA (ATT DP IV) : 18.452.000
Berapa biaya/harga PENINGKATAN DP V NAUTIKA (ANT DP V,PENINGKATAN DP V NAUTIKA (ANT DP V) : 14.438.000
Berapa biaya/harga PENINGKATAN DP V TEKNIKA (ATT DP V),PENINGKATAN DP V TEKNIKA (ATT DP V) : 14.093.000
berapa biaya diklat internal audit Terminal Operator Management dan BUP (Tatap Muka- BP2TL),Terminal Operator Management dan BUP (Tatap Muka- BP2TL): Rp 9.355.000
berapa biaya diklat Terminal Operator Management dan BUP daring/online,Terminal Operator Management dan BUP (Daring)   : Rp 6.000.000
berapa biaya diklat Port Basic Safety & Security Training (PBSST),"Port Basic Safety & Security Training (Tatap Muka, Tanpa LSP): Rp 750.000"
"berapa biaya diklat IMDG Code (Tanpa LSP, Pelaksanaan diluar BP2TL) ","IMDG Code (Tanpa LSP, Pelaksanaan diluar BP2TL)  : Rp 3.750.000"
"berapa biaya diklat IMSBC Code (Tanpa LSP, Pelaksanaan diluar BP2TL)","IMSBC Code (Tanpa LSP, Pelaksanaan diluar BP2TL)  : Rp 4.000.000"
berapa biaya diklat Sistem Informasi Angkutan Laut dan Kepelabuhanan,Sistem Informasi Angkutan Laut dan Kepelabuhanan ( Daring): Rp 2.400.000
berapa biaya diklat shipping management,Shipping Management (Tatap Muka)     : Rp 4.805.000
berapa biaya diklat shipping agency,Shipping Agency (Tatap Muka)      : Rp 4.805.000
berapa biaya diklat internal audit,Internal Audit (Tatap Muka)      : Rp 4.805.000
berapa biaya diklat dpa tatap muka di bp2tl,Designated Person Ashore (DPA) (Tatap Muka-BP2TL)  : Rp 6.902.000
berapa biaya diklat dpa tatap muka hotel,Designated Person Ashore (DPA) (Tatap Muka-Hotel)  : Rp 8.400.000
berpa biaya/harga pandu tingkat I,Pandu Tingkat I        : Rp 43.700.000
berpa biaya/harga pandu tingkat II,Pandu Tingkat II        : Rp 122.900.000
berapa biaya diklat dasar dasar kesyahbandaran,Dasar-dasar Kesyahbandaran      : Rp 3.200.000
berapa biaya diklat dasar pengukuran kapal,Dasar Pengukuran Kapal       : Rp 3.800.000
berpa biaya/harga pandu endorsement tingkat I,Pandu Endorsement Tingkat I (Tatap Muka)   : Rp 10.326.000
berpa biaya/harga pandu endorsement tingkat II,Pandu Endorsement Tingkat II (Tatap Muka)   : Rp 9.592.000
berpa biaya/harga updating imdg code,"Updating IMDG Code (Tatap Muka, di BP2TL, Tanpa LSP) : Rp 2.000.000"
berpa biaya/harga updating imsbc code,"Updating IMSBC Code (Tatap Muka, di BP2TL, Tanpa LSP) : Rp 1.800.000"
berpa biaya/harga diklat tot 609 hybrid/bleded,TOT 6.09 (Blended)       : Rp 6.000.000
berpa biaya/harga diklat tot 609 tatap muka,TOT 6.09 (Tatap Muka)       : Rp 9.000.000
berpa biaya/harga diklat toe 312 hybrid,TOE 3.12 (Blended)       : Rp 6.500.000
berpa biaya/harga diklat toe 312 tatap muka,TOE 3.12 (Tatap Muka)       : Rp 8.500.000
berpa biaya/harga diklat tot 610,TOT 6.10 (Tatap Muka)       : Rp 8.000.000
berpa biaya/harga diklat tot kepelabuhanan,TOT Kepelabuhan        : Rp 8.500.000
berapa biaya/harga revalidasi aff,REVALIDASI ADVANCE FIRE FIGHTING (AFF)     : 250.000
berapa biaya/harga revalidasi aff terbitan non bukan keluaran  bp2tl,REVALIDASI AFF NON-BP2TL       : 300.000
berapa biaya/harga revalidasi bst,REVALIDASI BASIC SAFETY TRAINING (BST)     : 250.000
berapa biaya/harga revalidasi bst terbitan bp2tl offline,REVALIDASI BST BP2TL OFFLINE       : 250.000
berapa biaya/harga revalidasi bst terbitan bp2tl online,REVALIDASI BST BP2TL ONLINE       : 250.000
berapa biaya/harga revalidasi bst non bukan keluaran  bp2tl offline,REVALIDASI BST NON BP2TL OFFLINE      : 300.000
berapa biaya/harga revalidasi bst non bukan keluaran  bp2tl online,REVALIDASI BST NON BP2TL ONLINE      : 300.000
berapa biaya/harga revalidasi PSCRB,REVALIDASI PROFICIENCY IN SURVIVAL CRAFT AND RESCUE BOATS (PSCRB): 250.000
berapa biaya/harga revalidasi PSCRB bukan keluaran non bp2tl,REVALIDASI PSCRB NON-BP2TL       : 300.000
berapa biaya updating bst bp2tl offline,UPDATING BST BP2TL OFFLINE       : 125.000
berapa biaya updating bst bp2tl online,UPDATING BST BP2TL ONLINE       : 125.000
"berapa biaya updating bst non bukan keluaran bp2tl offline,",UPDATING BST NON BP2TL OFFLINE      : 140.000
berapa biaya updating bst non bukan keluaran  bp2tl online,UPDATING BST NON BP2TL ONLINE      : 140.000
Berapa biaya/harga cetak ulang ijazah 1x cop,CETAK ULANG 1X COP    : 250.000
Berapa biaya/harga cetak ulang ijazah 2x cop,CETAK ULANG 2X COP    :500.000
Berapa biaya/harga cetak ulang ijazah 3x cop,CETAK ULANG 3X COP    :750.000
Berapa biaya/harga cetak ulang ijazah coe dan coc,"CETAK ULANG IJAZAH (COC, COE) :500.000"
Berapa biaya/harga cetak ulang ijazah coc,CETAK ULANG IJAZAH COC   :250.000
Berapa biaya/harga cetak ulang ijazah coe ,CETAK ULANG IJAZAH COE   :250.000
Berapa biaya/harga ganti coc dan coe gmdss ,PENGGANTIAN COC & COE GMDSS   :500.000
Berapa biaya/harga perpanjangan coe ANT III,PERPANJANGAN COE ANT III   :250.000
Berapa biaya/harga perpanjangan coe ANT IV,PERPANJANGAN COE ANT IV   :250.000
Berapa biaya/harga perpanjangan coe ANT V,PERPANJANGAN COE ANT V   :250.000
Berapa biaya/harga perpanjangan coe ATT III,PERPANJANGAN COE ATT III   :250.000
Berapa biaya/harga perpanjangan coe ATT IV,PERPANJANGAN COE ATT IV   :250.000
Berapa biaya/harga perpanjangan coe ATT V,PERPANJANGAN COE ATT V   :250.000
Berapa biaya/harga perpanjangan coe gmdss ,PERPANJANGAN COE GMDSS   :250.000
Berapa biaya/harga updating able deck,UPDATING ABLE SEAFARER DECK   :650.000
Berapa biaya/harga updating able engine,UPDATING ABLE SEAFARER ENGINE  :660.000
Gimana cara registrasi/buat akun,"Cara Registrasi Akun

1. Kunjungi laman diklat.bp2tl.ac.id 
2. Lakukan langkah sebagai berikut:
3. Registrasi Akun di bawah menu Sing in dengan melakukan pengisian data yg tertera, pastikan data diri yang dicantumkan sudah sesuai ya.
4. Jika data sudah diisi silahkan cantumkan captcha yang sesuai dengan huruf atau angka yg tertera, dan klik menu lanjut.
5. Cek email, apakah terdapat email masuk terkait berhasilnya melakukan registrasi akun pendaftar.
6. Lakukan login ke laman yang sama dengan mencantumkan NIK pendaftar dan cantumkan captcha kembali.
7. Cek pada bagian email untuk memastikan kode token terkirim.
8. Lakukan pengunggahan berkas pada menu Pendaftaran Diklat sesuai dengan diklat yang hendak di daftarkan.

Dipastikan NIK, EMAIL, NOMOR WHATSAPP Sesuai dalam melakukan registrasi akun

1. Jika sudah login pada akun silahkan lakukan langkah berikut untuk daftar diklat :
2. Klik tombol garis tiga yg tertera di sebelah kanan atas layar.
3. Klik bagian Diklat dilanjut ke menu pendaftaran.
4. Kolom pertama diisi sesuai dengan Jenis Diklat yang diinginkan, next di bawahnya Diklat yg hendak di pilih.
5. Proses pengisiannya silahkan diisi tanggal terbit maupun exp diisi tanggal hari saat unggah dokumen.
6. Pilih file yang hendak di unggah lalu langsung klik tombol UNGGAH di setiap nomornya.
7. Validasi berkas oleh admin
8. Apabila berkas sudah tervalidasi semua, kembali ke menu halaman unggah berkas, maka tampilan akan berubah menjadi pilihan jadwal periode pembelajaran 
8. Pilih jadwal, klik daftar
9. Tunggu virtual account (VA) yang diterima di email (±5menit)
10. Lakukan pembayaran, Bank BNI, masukan nomor VA, pastikan nama yang muncul adalah nama peserta, pastikan nominal pembayaran sesuai (tidak kurang/lebih)
11. Apabila pembayaran berhasil akan ada email balasan dengan tulisan ""Pembayaran telah berhasil dilakukan"". Atau,  peserta dipersilahkan cek kartu peserta sesuai diklat yang diambil, dengan mengikuti langkah berikut : ke menu Dashboard kemudian klik Diklat saya dan klik Diklat cetak (warna hijau)
Tinggal menunggu info terkait pembelajaran dan undangan grup belajar


"
Gimana cara daftar diklat online,"Cara Registrasi Akun

1. Kunjungi laman diklat.bp2tl.ac.id 
2. Lakukan langkah sebagai berikut:
3. Registrasi Akun di bawah menu Sing in dengan melakukan pengisian data yg tertera, pastikan data diri yang dicantumkan sudah sesuai ya.
4. Jika data sudah diisi silahkan cantumkan captcha yang sesuai dengan huruf atau angka yg tertera, dan klik menu lanjut.
5. Cek email, apakah terdapat email masuk terkait berhasilnya melakukan registrasi akun pendaftar.
6. Lakukan login ke laman yang sama dengan mencantumkan NIK pendaftar dan cantumkan captcha kembali.
7. Cek pada bagian email untuk memastikan kode token terkirim.
8. Lakukan pengunggahan berkas pada menu Pendaftaran Diklat sesuai dengan diklat yang hendak di daftarkan.

Dipastikan NIK, EMAIL, NOMOR WHATSAPP Sesuai dalam melakukan registrasi akun

1. Jika sudah login pada akun silahkan lakukan langkah berikut untuk daftar diklat :
2. Klik tombol garis tiga yg tertera di sebelah kanan atas layar.
3. Klik bagian Diklat dilanjut ke menu pendaftaran.
4. Kolom pertama diisi sesuai dengan Jenis Diklat yang diinginkan, next di bawahnya Diklat yg hendak di pilih.
5. Proses pengisiannya silahkan diisi tanggal terbit maupun exp diisi tanggal hari saat unggah dokumen.
6. Pilih file yang hendak di unggah lalu langsung klik tombol UNGGAH di setiap nomornya.
7. Validasi berkas oleh admin
8. Apabila berkas sudah tervalidasi semua, kembali ke menu halaman unggah berkas, maka tampilan akan berubah menjadi pilihan jadwal periode pembelajaran 
8. Pilih jadwal, klik daftar
9. Tunggu virtual account (VA) yang diterima di email (±5menit)
10. Lakukan pembayaran, Bank BNI, masukan nomor VA, pastikan nama yang muncul adalah nama peserta, pastikan nominal pembayaran sesuai (tidak kurang/lebih)
11. Apabila pembayaran berhasil akan ada email balasan dengan tulisan ""Pembayaran telah berhasil dilakukan"". Atau,  peserta dipersilahkan cek kartu peserta sesuai diklat yang diambil, dengan mengikuti langkah berikut : ke menu Dashboard kemudian klik Diklat saya dan klik Diklat cetak (warna hijau)
Tinggal menunggu info terkait pembelajaran dan undangan grup belajar


"
Gimana cara ganti email di akun peserta,"Ganti Email

Kunjungi laman diklat.bp2tl.ac.id 
Lakukan langkah sebagai berikut:
1. Pilih opsi Ganti Email
2. Masukkan NIK/No. KTP
3. Unggah scan KTP (maks. 500 KB)
4. Isi email pengganti yang masih aktif. 
5. Masukkan kode captcha
6. Klik “Periksa Data” untuk melanjutkan proses. 

Tunggu konfirmasi yang akan dikirimkan ke email pengganti yang telah diinputkan. Pastikan memeriksa folder Inbox, Spam, atau Junk secara berkala. Email konfirmasi tersebut akan berisi nama peserta, nomor peserta, serta email baru yang telah terdaftar
dalam sistem.

"
Gimana cara pembayaran melalui VA  ATM bni,"ATM BNI
1. Masukkan Kartu ATM Anda.
2. Pilih Bahasa.
3. Masukkan PIN ATM Anda.
4. Pilih ""Menu Lainnya"".
5. Pilih ""Transfer"".
6. Pilih jenis rekening yang akan Anda gunakan
Contoh: ""Dari Rekening Tabungan""
7. Pilih “Virtual Account Billing”.
8. Masukkan 16 digit nomor Virtual Account Anda
Contoh: 9882987301240006
9. Tagihan yang harus dibayarkan akan muncul pada layar konfirmasi.
10. Konfirmasi, apabila telah sesuai, lanjutkan transaksi.
11. Transaksi Anda telah selesai
"
Gimana cara pembayaran melalui VA bni Mbanking BNI,"Mobile Banking BNI
1. Akses BNI Mobile Banking dari handphone kemudian masukkan user ID dan password.
2. Pilih menu “Transfer”.
3. Pilih menu “Virtual Account Billing” kemudian pilih rekening debet.
4. Masukkan 16 digit nomor Virtual Account Anda
Contoh: 9882987301240006 pada menu “Input Baru”.
5. Tagihan yang harus dibayarkan akan muncul pada layar konfirmasi.
6. Konfirmasi transaksi dan masukkan password transaksi.
7. Pembayaran Anda telah berhasil.
"
Gimana cara pembayaran melalui VA bni ibank personal,"iBank Personal
1. Akses ibank.bni.co.id
2. Masukkan User ID dan password
3. Klik menu Transfer, lalu pilih “Virtual Account Billing”.
4. Kemudian masukan 16 digit nomor Virtual Account Anda
Contoh: 9882987301240006 yang hendak dibayarkan.
5. Pilih rekening debet yang akan digunakan. Kemudian tekan ‟Lanjut‟
6. Kemudian tagihan yang harus dibayarkan akan muncul pada layar konfirmasi.
7. Masukkan kode otentikasi token.
8. Pembayaran Anda telah berhasil
"
Gimana cara pembayaran melalui VA cabang atau teller bni ,"Cabang atau Teller BNI
1. Kunjungi kantor cabang/outlet BNI terdekat.
2. Informasikan kepada Teller, bahwa ingin melakukan pembayaran “Virtual Account Billing”.
3. Serahkan 16 digit nomor Virtual Account Anda kepada Teller.
Contoh: 9882987301240006
4. Teller melakukan konfirmasi kepada Anda.
5. Teller memproses transaksi.
6. Apabila transaksi sukses anda akan menerima bukti pembayaran dari teller Tersebut.
"
Gimana cara pembayaran melalui VA Agen46,"Agen46
1. Kunjungi Agen46 terdekat (warung/toko/kios dengan tulisan Agen46).
2. Informasikan kepada Agen46, bahwa ingin melakukan pembayaran Virtual.
3. Serahkan 16 digit nomor Virtual Account Anda kepada Agen46.
Contoh: 9882987301240006
4. Agen46 melakukan konfirmasi kepada Anda.
5. Agen46 Proses Transaksi.
6. Apabila transaksi Sukses anda akan menerima bukti pembayaran dari Agen46 tersebut.
"
Gimana cara pembayaran melalui ATM Bersama,"ATM Bersama
1. Masukkan kartu ke mesin ATM Bersama.
2. Pilih ""Transaksi Lainnya"".
3. Pilih menu ""Transfer"".
4. Pilih ""Transfer ke Bank Lain"".
5. Masukkan kode bank BNI (009) dan 16 Digit Nomor Virtual Account
Contoh: 9882987301240006
6. Masukkan nominal transfer sesuai tagihan atau kewajiban Anda. Nominal yang berbeda tidak dapat diproses.
7. Konfirmasi rincian Anda akan tampil di layar, cek dan tekan 'Ya' untuk melanjutkan.
8. Transaksi Berhasil.
"
Gimana cara pembayaran melalui ATM Bank Lain,"ATM Bank Lain
1. Pilih menu ""Transfer antar bank"" atau “Transfer online antar bank”.
2. Masukkan kode bank BNI (009) atau pilih bank yang dituju yaitu BNI.
3. Masukan 16 Digit Nomor Virtual Account pada kolom rekening tujuan, Contoh: 9882987301240006
4. Masukkan nominal transfer sesuai tagihan atau kewajiban Anda. Nominal yang berbeda tidak dapat diproses.
5. Masukkan jumlah pembayaran
6. Konfirmasi rincian Anda akan tampil di layar, cek dan apabila sudah sesuai silahkan lanjutkan transaksi sampai dengan selesai.
7. Transaksi Berhasil.
"
Gimana cara pembayaran melalui OVO,"OVO
1. Buka aplikasi OVO.
2. Pilih menu Transfer.
3. Pilih “Rekening Bank”.
4. Masukkan kode bank BNI (009) atau pilih bank yang dituju yaitu BNI.
5. Masukan 16 Digit Nomor Virtual Account pada kolom rekening tujuan, Contoh: 9882987301240006
6. Masukkan nominal transfer sesuai tagihan atau kewajiban Anda.
7. Pilih “Transfer”.
8. Konfirmasi rincian Anda akan tampil di layar.
9. Cek dan apabila sudah sesuai silahkan pilih “Konfirmasi” untuk melanjutkan transaksi sampai dengan selesai.
10.Transaksi Berhasil. 
"
Gimana cara pengecekan sertifikat online,"Pengecekan sertifikat secara online

Untuk pengecekan sertifikat secara online, silakan kunjungi: http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga BP2TL Jakarta: 53 (BP2TL Jakarta)
"
Gimana dan dimana pengambilan sertifikat fisik,"Pengambilan Sertifikat/Ijazah Fisik

Saat ini BP2TL belum melayani pengiriman sertifikat, untuk estimasi pencetakan fisik biasanya paling cepat ±3 minggu setelah diklat selesai (terhitung hari kerja). Sertifikat dapat diambil langsung ke loket kampus bp2tl atau diwakilkan oleh keluarga/kerabat 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Mohon menyiapkan:

Pas foto ukuran 3x4:
Hitam putih bertuliskan BP2TL (untuk diklat keterampilan)
Berwarna dengan latar sesuai jurusan:
• Nautika: latar biru
• Teknika: latar merah

"
Gimana cara legalisir ijazah,"Pengajuan Legalisir Ijazah

Pengajuan legalisir hanya dapat dilakukan secara langsung di loket BP2TL dengan membawa persyaratannya sebagai berikut:

1. Ijazah Asli
2. Fotokopi Ijazah
3. Fotokopi KTP

"
