question,answer
"Apakah bisa revalidasi BST dri tempat diklat lain?
Terimakasih","Revalidasi BST dari tempat diklat lain bisa dilakukan di BP2TL.

Berikut informasinya:
⚓️ BST MSC.560 (108)
⚓️ UPDATING (BST masih aktif)

Alumni BP2TL: Rp125.000
Non BP2TL: Rp140.000

⚓️ REVALIDASI (BST kurang dari 5 tahun)

Alumni BP2TL: Rp250.000
Non BP2TL: Rp300.000

Untuk BST terbitan BP2TL maupun Non BP2TL, terdapat 2 teknis pelaksanaan diklat:

Online (melampirkan PKL masih aktif dan surat rekomendasi dari perusahaan/instansi)
Offline (bagi pelaut yang sedang off, pembelajaran tetap dilaksanakan online sesuai jadwal terlampir)

Waktu tatap muka:

Updating: 1 hari (4 jam pembelajaran)
Revalidasi: 1 hari (6 jam pembelajaran)

Pendaftaran dapat dilakukan melalui laman:
diklat.bp2tl.ac.id (menu REVALIDASI)

Terima kasih, semoga informasinya membantu ⚓️"
" pak/buk izin mengganggu waktu nya sebentar🙏🏻
bp2tl hari ini tutup sampai jam brapa pak, soalnya saya mau kesana urus reval bst sekaligus pembaruan kertas MSC nya🙏🏻","Untuk jadwal pelayanan loket di BP2TL sebagai berikut:

Senin–Kamis : 08.00–15.00
Jumat : 08.00–15.30

Silakan menyesuaikan kedatangannya dengan jam pelayanan tersebut ya. Terima kasih."
"Mohon bantuannya apa bisa daftar lewat wa,saya susah upload karena di tengah laut 
Saya ingin daftar DP5 peningkatan,klo bisa saya kirim persyaratan saya lewat WhatsApp aja","Baik kak, untuk pendaftaran Diklat  tetap dilakukan melalui laman resmi berikut ya:
diklat.bp2tl.ac.id

Mohon bantuannya untuk tetap melakukan pendaftaran melalui website tersebut. Jika mengalami kendala upload karena keterbatasan jaringan, bisa dicoba kembali saat sinyal memungkinkan."
Mohon info persyaratan daftar updating ANT 3 Manajemen 🙏,"Berikut persyaratan Updating ANT III Manajemen:

📌 Dokumen WAJIB (diupload saat pendaftaran):

1. Pas foto terbaru ukuran 3x4 (background biru = nautika, merah = teknika/fungsional, hitam putih = diktram)
2. Sertifikat AFF (scan asli)
3. Sertifikat ARPA Simulator / AS (scan asli)
4. Sertifikat ECDIS (scan asli)
5. Surat Masa Layar dari Syahbandar + PNBP minimal 12 bulan pada kapal ≥ 500 GT (terbitan 6 bulan terakhir)
6. Surat Pernyataan Peserta Diklat

📌 Dokumen TIDAK WAJIB (boleh menyusul setelah pendaftaran):

1. Akte Lahir / Surat Kenal Lahir (scan asli)
2. KTP / identitas yang masih berlaku
3. Printout Seafarer Code
4. STTPK DP III / Ijazah D4 / Ijazah D3 / Crash Program / Fast Track
5. Sertifikat ANT III (COC + COE Endorsement)
6. Sertifikat BRM
7. Sertifikat BST MSC.560
8. Sertifikat GMDSS
9. Sertifikat Kesehatan / MCU yang masih berlaku
10. Sertifikat Medical Care (MC)
11. Sertifikat Medical First Aid (MFA)
12. Sertifikat PSCRB
13. Sertifikat SAT
14. Sertifikat SSO

Jadi, dokumen WAJIB harus diupload saat pendaftaran, sedangkan dokumen TIDAK WAJIB dapat dilengkapi/menyusul setelah pendaftaran ya kak 🙏
"
", saya dengan Sovia dari PT Chosuk. Saya ingin bertanya mengenai Sertifikasi untuk Juru Mudi, Navigator, Engineer. Untuk syarat dan ketentuannya apakah ada?","

Terkait informasi persyaratan dan ketentuan sertifikasi Juru Mudi, Navigator, maupun Engineer, mohon dapat menghubungi langsung Admin Pendaftaran kami agar mendapatkan penjelasan yang lebih detail dan sesuai kebutuhan.

Silakan hubungi Admin Diklat di nomor berikut:
📞 +62 811-1707-1205

Terima kasih 🙏
"
" Bapak/Ibu
Saya Dahtsun siregar, mau tanya berapa harga renewal per sertifikat di BP2TL?, sertifikat saya kluaran BP2TL terimakasih.","Berikut daftar biaya diklat dan layanan di BP2TL:

📚 Diklat Peningkatan:

* Peningkatan/DP ANT III : Rp 23.427.000
* Peningkatan/DP ATT III : Rp 24.647.000
* Peningkatan/DP ANT IV : Rp 20.815.000
* Peningkatan/DP ATT IV : Rp 21.513.000
* Peningkatan/DP ANT V : Rp 14.438.000
* Peningkatan/DP ATT V : Rp 14.093.000

📘 Diklat Pemutakhiran (Management):

* ANT III Manajemen : Rp 1.390.000
* ATT III Manajemen : Rp 1.390.000
* ANT IV Manajemen : Rp 1.390.000
* ATT IV Manajemen : Rp 1.464.000
* ANT V Manajemen : Rp 1.320.000
* ATT V Manajemen : Rp 1.320.000

⚓ Diklat Keterampilan & Penunjang:

* BST : Rp 1.350.000
* AFF : Rp 740.000
* SCRB : Rp 900.000
* MFA : Rp 588.000
* MC : Rp 743.000
* BRM : Rp 860.000
* ERM : Rp 860.000
* RADAR : Rp 868.000
* ARPA : Rp 855.000
* ECDIS : Rp 1.110.000
* SSO : Rp 580.000
* SAT : Rp 425.000
* SDSD : Rp 600.000
* CMT : Rp 441.000
* CMHBT : Rp 446.000
* HSC-A : Rp 1.140.000
* HSC-B : Rp 1.080.000
* BOCT : Rp 875.000
* BLGT : Rp 880.000
* AOT : Rp 975.000
* ACT : Rp 980.000
* ALGT : Rp 985.000
* Passenger Safety : Rp 950.000
* Towing Master : 1.100.000

🧭 Diklat Rating & Lainnya:

* Able Deck : Rp 5.300.000
* Able Engine : Rp 6.800.000
* Rating Forming Deck : Rp 1.729.000
* Rating Forming Engine : Rp 1.771.000
* GOC GMDSS : Rp 2.124.000
* ORU : Rp 2.800.000

🧾 Layanan Akademik & Sertifikat:

* Revalidasi BST (BP2TL) : Rp 250.000
* Revalidasi BST (Non BP2TL) : Rp 300.000
* Updating BST (BP2TL) : Rp 125.000
* Updating BST (Non BP2TL) : Rp 140.000
* Revalidasi AFF / SCRB : Rp 250.000
* Cetak Ulang COC & COE : Rp 500.000
* Cetak Ulang COC : Rp 250.000
* Cetak Ulang COP : Rp 250.000
* Cetak Ulang SPPK : Rp 150.000
* Perpanjang COE ANT/ATT : Rp 250.000
* Perpanjang COE GMDSS : Rp 250.000

🩺 Layanan Kesehatan:

* Tes Kesehatan BST/DP : Rp 200.000
* Tes Kesehatan Diktram/UP : Rp 150.000


"
Apakah di sini masih buka diklat buat BST.??,"Berikut jadwal Diklat BST yang pendaftarannya masih dibuka:

1. 02 Mar – 12 Mar 2026 | Pendaftaran s.d 01 Mar 2026
2. 06 Apr – 16 Apr 2026 | Pendaftaran s.d 05 Apr 2026
3. 20 Apr – 30 Apr 2026 | Pendaftaran s.d 19 Apr 2026
4. 04 Mei – 16 Mei 2026 | Pendaftaran s.d 03 Mei 2026
5. 18 Mei – 30 Mei 2026 | Pendaftaran s.d 17 Mei 2026
6. 02 Jun – 12 Jun 2026 | Pendaftaran s.d 01 Jun 2026
7. 15 Jun – 26 Jun 2026 | Pendaftaran s.d 14 Jun 2026
8. 06 Jul – 16 Jul 2026 | Pendaftaran s.d 05 Jul 2026
9. 20 Jul – 30 Jul 2026 | Pendaftaran s.d 19 Jul 2026
10. 03 Agt – 13 Agt 2026 | Pendaftaran s.d 02 Agt 2026
11. 18 Agt – 29 Agt 2026 | Pendaftaran s.d 17 Agt 2026
12. 07 Sep – 17 Sep 2026 | Pendaftaran s.d 06 Sep 2026
13. 21 Sep – 01 Okt 2026 | Pendaftaran s.d 20 Sep 2026
14. 05 Okt – 15 Okt 2026 | Pendaftaran s.d 04 Okt 2026
15. 19 Okt – 29 Okt 2026 | Pendaftaran s.d 18 Okt 2026
16. 02 Nov – 12 Nov 2026 | Pendaftaran s.d 01 Nov 2026
17. 16 Nov – 26 Nov 2026 | Pendaftaran s.d 15 Nov 2026
18. 07 Des – 17 Des 2026 | Pendaftaran s.d 06 Des 2026

Silakan memilih periode yang diinginkan dan mendaftar sebelum batas waktu pendaftaran ya kak melalui tautan berikut: bp2tl.ac.id/pendaftaran.php"
Izin pak untuk diklat algt 12-21 januari apakah sudah kelur fisiknya ya. ,"Sertifikat online biasanya terbit kurang lebih ±1 bulan setelah pembelajran ya kak. Jika sudah online, barulah sertifikat fisik bisa diambil 🙏

Untuk pengecekan sertifikat secara online, silakan kunjungi:
⛵http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga: 53 (BP2TL Jakarta)

Apabila lebih dari waktu tersebut belum muncul, silakan hubungi admin di 0811-1707-1205 ya kak 🙏😊
"
Bisa kah saya minta suket untuk Diklat sdsd kemarin saya sudah diklat tanggal 31 januari 2026,"Untuk permintaan surat keterangan (suket) diklat, dapat menghubungi admin melalui WhatsApp di 0811-1707-1205 dengan format: permintaan suket, serta melampirkan kartu peserta diklat yang akan dibuatkan surat keterangannya.

Mohon diperhatikan, sertifikat yang sudah terbit tidak dapat dibuatkan surat keterangan (suket).

Terima kasih 😊🙏
"
"Saya mau ambil able dan DP V
Itu pembelajaran nya bersamaan ya buk?","Betul ya kak 🙏
Untuk Diklat Able dan DP V bisa diikuti secara bersamaan sesuai jadwal yang ditetapkan. Silakan menyesuaikan dengan periode diklat yang tersedia ya kak. Terima kasih.
"
"Sya cman mau daftar COC-COE
Tolong di confirmasi
GOC kan untuk ORU pak","Baik kak 🙏
Untuk GOC GMDSS nantinya akan terbit ijazah, endorsement (COE), serta SPPK GMDSS ya kak.

Jadi tidak hanya untuk ORU saja, tetapi akan mendapatkan dokumen lengkap sesuai ketentuan. Terima kasih.
"
"siang kak mau tanya updating syarat bst saya baru di perbaharui di barombong..ga bisa yaa?
siang kak mau tanya updating terakhir hari ini
ada assessment ga yaa","Pembelajaran UPDATING/PEMUTAKHIRAN di kampus kami sistem pembelajarannya Online untuk materi namun pada saat UJIAN/UKP OFFLINE DI KAMPUS BP2TL JAKARTA. Jika ujian tidak lulus silahkan Kakak diberikan kesempatan mengulang sampai 4 kali pengulangan saja. 

Sertifikat akan lanjut di cetak jika Kakak sudah lulus ujiannya ya, terima kasih ⚓🙏🏻"
"Slamat pagi admin
Untuk ant 4 saya blm ada radar sama gmdss, nanti ambilnya bersamaan sama ant 4 nya gpp ya min ??, ambil yg pasis ya"," bisa banget ya kak 🙏
Kakak dapat sekaligus mendaftar diklat penunjang (Radar dan GMDSS) bersamaan dengan ANT IV di kampus kami.

Namun disarankan untuk tidak memilih kelas pasis ya kak, silakan memilih kelas umum saja. Terima kasih 🙏
"
"Siap aman kk,, Izin saya mau updating BST secara online saja kk soalnya saya di luar daerah kk 🙏
Siap oh iya kk ini jadinya updating BST biasanya berapa lama kk?","Baik kak 🙏
Untuk Updating BST dapat mendaftar melalui laman berikut:
https://diklat.bp2tl.ac.id

Durasi pembelajaran Updating BST adalah 1 hari (±4 jam pembelajaran) ya kak.
Silakan menyesuaikan jadwal yang tersedia pada laman pendaftaran. Terima kasih.
"
"Sya mengambil diklat rating yg selesai pada 22 january bu

Sy ingin bertanya apa sertfikat fisik nya sudah bisa di ambil?","Sertifikat online biasanya terbit kurang lebih ±1 bulan setelah pembelajran ya kak. Jika sudah online, barulah sertifikat fisik bisa diambil 🙏

Untuk pengecekan sertifikat secara online, silakan kunjungi:
⛵http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga: 53 (BP2TL Jakarta)

Apabila lebih dari waktu tersebut belum muncul, silakan hubungi admin di 0811-1707-1205 ya kak 🙏😊
"
", saya peserta up ANT3 Management, mau tanya ini kan mulai pembelajarannya mundur 1 minggu dr jadwal ya, untuk ijazah nya itu online dan keluar fisik nya brp lama ya? Terimakasih","Terkait perubahan jadwal pembelajaran yang mundur, mohon mengikuti informasi dan instruksi terbaru di grup pembelajaran ya kak.

Untuk ijazah fisik estimasi paling cepat ±3 minggu setelah diklat selesai (terhitung hari kerja).

Jika ijazah fisik sudah dapat diambil, akan diinformasikan melalui grup pembelajaran ya kak. Terima kasih 🙏
"
 permisi kak kalo bukti pembayaran diklat hilang gimana ya?,"Jika bukti pembayaran diklat hilang, bisa melampirkan kartu peserta sebagai pengganti kwitansi ya "
saya mengganti nomor yang di profil peserta diklat ya min,"Terkait akun dan nomor peserta yang tidak bisa login, untuk kendala tersebut silakan langsung hubungi admin agar dapat dicek di sistem ya kak 🙏

Bisa konfirmasi melalui WhatsApp di 0811-1707-1205 supaya segera ditindaklanjuti."
"Mohon informasi untuk revalidasi COE GMDSS periode 12 Januari 2025 kapan ya jadi fisiknya? Saya butuh scanannya admin, karna urgent diminta oleh office","Baik kak 🙏
Setelah kami konfirmasi ke unit terkait, sertifikat fisik yang sudah jadi tidak dapat kami lakukan scan ya kak.

Untuk mendapatkannya, kakak perlu mengambil langsung ke BP2TL.
Terima kasih atas pengertiannya 🙏
"
"Izin mau tanya, Untuk towing master Pembelajaran nya Tatap muka apa online yaa? Persyaratan nya apa saja dan biayanya juga? Untuk surat kesehatan bukan mcu tidak apa apa yaa?","Pemberalajaran TOWING MASTER di kampus kami online untuk materi, namun untuk praktik silahkan kakak bisa mengirimkan video atau dokumentasi praktik sesuai domisili masing-masing ya, atau bisa melakukan praktik jika dekat dengan kantor KSOP/Syahbandar terdekat untuk melaksanakan praktik. Jika posisi ON BOARD silahkan kakak lampirkan dengan dokumentasi praktik di kapal masing-masing ya..

📌 Persyaratan:
Dokumen WAJIB (diupload saat pendaftaran):

1. KTP (scan asli)
2. Sertifikat minimal ANT-V / Surat Keterangan (jika ANT-V masih proses) / Surat Keterangan Turun Prala (bagi Taruna Pasca Prala)
3. Surat Pernyataan Peserta Diklat

Dokumen TIDAK WAJIB (boleh menyusul):

1. Akte Lahir / Surat Kenal Lahir
2. Pas foto terbaru ukuran 3x4 (background sesuai jurusan)
3. Sertifikat Kesehatan Pelaut (MCU) dari RS/Lembaga yang diakui Ditjen Hubla

Terkait surat kesehatan, minimal surat keterangan sehat dari RS yang diakui DJPL dan mencantumkan keterangan tidak buta warna ya 
"
",  Pak/Bu.
Perkenalkan saya Nabila dari PT. JINET CREW MANNING, sebuah perusahaan Crewing Agency yang berlokasi di Jakarta Pusat. Saat ini kami sedang mencoba memperluas pengenalan perusahaan kami ke beberapa Sekolah Pelayaran. Jika diizinkan rencananya Direktur kami ingin mengunjungi BP2TL Jakarta, apakah ada kesempatan tersebut?","Terkait rencana kunjungan ke BP2TL Jakarta, dapat menghubungi Divisi Pengembangan Usaha kami ya.

Silakan menghubungi:
Andre (WA: +62 856-9191-6584)

Nanti akan dibantu terkait koordinasi jadwal kunjungan. Terima kasih."
Untuk sertifikat BST nya kapak terbit min yang dari tanggal 19 januari,"Sertifikat online biasanya terbit kurang lebih ±1 bulan setelah pembelajran ya kak. Jika sudah online, barulah sertifikat fisik bisa diambil 🙏

Untuk pengecekan sertifikat secara online, silakan kunjungi:
⛵http://pelaut.dephub.go.id

Langkah pengecekan:

1. Klik menu Verifikasi/Verification
2. Masukkan nomor sertifikat (10 digit kode pelaut + kode sertifikat + kode lembaga (53) + tahun terbit)
3. Untuk kolom pertama digunakan khusus pengecekan BST, selain itu bisa dikosongkan

Keterangan:
Kode lembaga: 53 (BP2TL Jakarta)

Apabila lebih dari waktu tersebut belum muncul, silakan hubungi admin di 0811-1707-1205 ya kak 🙏😊
"
" Pak/Bu
Apakah bisa perpanjangan Sertifikat PSCRB di BP2TL terbitan STIP","Perpanjangan Sertifikat PSCRB terbitan STIP bisa dilakukan di BP2TL ya kak.

Namun, kakak perlu menyerahkan fisik sertifikat asli terlebih dahulu ke kampus kami.
Akan dikenakan biaya keabsahan untuk terbitan non BP2TL sebesar Rp50.000, dibayarkan secara cash di loket pendaftaran 😊
"
", saya ingin tanya diklat yang khusus untuk navigator harus ambil jenis diklat yang mana?","Terkait diklat khusus untuk navigator, penentuannya disesuaikan dengan kebutuhan dan sertifikat yang sudah kakak miliki ya (misalnya BST, AFF, SAT, SDSD, dan lainnya).

Boleh diinformasikan rencana kakak ingin mengambil diklat apa dan sertifikat dasar apa saja yang sudah dimiliki? 😊

Untuk informasi lebih lanjut dan pengecekan kebutuhan diklat yang sesuai, silakan menghubungi admin pendaftaran kami di nomor berikut:
+62 811-1707-1205

Nanti akan dibantu diarahkan sesuai kebutuhan kakak ya 🙏
"
Pagi kak ijin bertanya untuk sertifikat yg sudah jadi apakah bisa di bantu pengiriman nya?,"Saat ini BP2TL belum melayani pengiriman sertifikat. Sertifikat dapat diambil langsung ke kampus atau diwakilkan oleh keluarga/kerabat ya 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Terima kasih 🙏
"
" Pak/Bu..
Mau nanya di bp2tl biaya ambil ANT 5 berapa?","Berikut daftar biaya diklat dan layanan di BP2TL:

📚 Diklat Peningkatan:
* Peningkatan/DP ANT V : Rp 14.438.000

📘 Diklat Pemutakhiran (Management):
* ANT V Manajemen : Rp 1.320.000





"
"Pagi kak, saya mau tanya, saya sudah dapet kartu peserta diklat periode 18feb sd 28feb. Yg mau saya tanyakan mulai pelatihannya di tgl brp ya, ada jadwalnya kah? Dan harus kemana diklatnya online atau offline.
Terimakasih","Peserta nantinya akan diundang ke grup oleh penyelenggara diklat. Mohon ditunggu, biasanya undangan grup akan diberikan pada H-1 atau hari H pelaksanaan diklat.

Informasi terkait jadwal mulai, metode pembelajaran (online/offline), serta teknis pelaksanaan lainnya akan disampaikan melalui grup pembelajaran. Apabila sampai saat ini belum ada informasi lanjutan di grup, mohon menunggu pengumuman resmi dari penyelenggara melalui grup tersebut ya kak.

Jika sudah mendekati jadwal namun belum menerima undangan atau link grup, silakan konfirmasi kembali melalui helpdesk di akun pendaftaran anda atau hubungi admin diklat di nomor 0811-1707-1205 ya kak.

Terima kasih 🙏"
"Saya kmrin ambil diklat rating deck kak kebetulan info dri tmn sesama diklat yg sdh ambil sertfikat fisik nya sdh di ambil kak

Apa tersedia opsi pebgiriman sertifikat kak

Apa bila tdk tersedia untuk sekarang maka kapan proses pengiriman sertifkat nya bisa tersedia kembali","Saat ini BP2TL belum melayani pengiriman sertifikat. Sertifikat dapat diambil langsung ke kampus atau diwakilkan oleh keluarga/kerabat ya 

Jika diambil langsung, mohon membawa:
1. Bukti pembayaran dari email (diprint)
2. Fotokopi KTP

Jika pengambilan diwakilkan, mohon membawa:
1. Surat kuasa
2. Bukti pembayaran dari email (diprint)
3. Fotokopi KTP pemberi kuasa dan yang diberi kuasa

Terima kasih 🙏
"
